OBJECTID,RoadName,RoadID,SectionID,RoadIDSect,LocationBe,LocationEn,PMBeg,PMEnd,SurfaceTyp,Lanes,Length,Width,Area,PCI_Inspec,PCI_Insp_1,PCI_Curren,Functional,Quadrant,Supervisor,RoadYard,Constructi,Construc_1
549,CORONA RD,5708,1142,5708 - 1142,ORMSBY LN,HARDIN LN / ADOBE RD,11.42,12.15,A,2,3854,26,100204,63,2015/10/01,60,5 - Major Collector,SE,2nd District,COT,1985/01/01,1985/01/01,
1158,INVERNESS AVE,67017,1000,67017 - 1000,CRANE CANYON RD,END,10,11.08,A,2,5702,23,131146,36,2015/05/18,33,7 - Local,SE,1st District,COT,1967/01/01,1967/01/01,
341,BUENA VIDA DR,56149,1000,56149 - 1000,BUENA VIDA CT,ACADEMY LN,10,10.05,A,2,275,22,6050,5,2015/05/27,0,7 - Local,SE,1st District,SON,1964/01/01,1964/01/01,
103,ARNOLD DR,5603,1241,5603 - 1241,CARRIGER CREEK - BEGIN BRIDGE,CARRIGER CREEK - END BRIDGE,12.41,12.45,C,2,102,40,4080,0,0000/00/00,0,,SE,1st District,SON,1986/01/01,1986/01/01,
1001,GROVE ST,56023,1294,56023 - 1294,WYATT RD,CARRIGER RD,12.94,13.18,A,2,1267,24,30408,41,2015/05/11,38,7 - Local,SE,1st District,SON,1983/06/09,1983/06/09,
1066,HEMLOCK AVE,66012,1000,66012 - 1000,PARK AVE,END,10,10.1,A,2,528,16,8448,14,2015/05/22,10,7 - Local,SE,1st District,SON,1970/01/01,1970/01/01,
87,ARKAY CT,56237,1000,56237 - 1000,END,SOLANO AVE,10,10.13,A,2,686,40,27440,29,2015/05/27,25,7 - Local,SE,1st District,SON,1997/01/01,1997/01/01,
422,CARRIGER RD,56026,1000,56026 - 1000,SOUTHERN END,SOLANO AVE,10,10.11,A,1,553,12,6636,77,2015/05/14,75,7 - Local,SE,1st District,SON,1976/12/14,1976/12/14,
212,BENNETT VALLEY RD,6604,1245,6604 - 1245,S.R. CITY LIMITS,BRIDGE 20C-220,12.45,12.76,O,2,1637,25,40925,96,2015/03/27,90,5 - Major Collector,SE,1st District,COT,2011/08/02,1984/11/15,
947,GOODWIN AVE,57043,1085,57043 - 1085,PALM AVE,PENNGROVE AVE,10.85,11.62,A,2,4066,20,81320,25,2015/04/26,21,7 - Local,SE,2nd District,COT,1984/01/01,1984/01/01,
1133,HUNTER LN,68077,1000,68077 - 1000,HUNTER LN,PETALUMA HILL RD,10,10.5,A,2,2640,11,29040,28,2015/04/26,24,7 - Local,SE,3rd District,COT,1983/01/01,1983/01/01,
104,ARNOLD DR,5603,1245,5603 - 1245,END CARRIGER CRK BRIDGE,PETALUMA AVE,12.45,12.83,A,2,2006,40,80240,84,2015/02/23,81,4 - Minor Arterial,SE,1st District,SON,1984/09/19,1984/09/19,
758,FAIRWAY DR,56248,1000,56248 - 1000,RAILROAD AVE,END,10,10.14,A,2,739,32,23648,79,2015/05/29,78,7 - Local,SE,1st District,SON,1996/12/31,1996/12/31,
1070,HENNO RD,66049,1101,66049 - 1101,PM MARKER,DUNBAR RD,11.01,11.87,A,2,4541,15,68115,47,2015/04/17,44,7 - Local,SE,1st District,SON,1979/05/09,1979/05/09,
216,BENNETT VALLEY RD,6604,1538,6604 - 1538,PONDEROSA DR,PM 16.04,15.38,16.04,O,2,3484.8,35,121968,59,2015/03/27,56,5 - Major Collector,SE,1st District,SON,2010/10/18,1986/12/31,
582,CUNEO RD,56079,1000,56079 - 1000,ARROYO RD,END,10,10.05,A,2,264,14,3696,40,2015/05/29,37,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
663,DUNBAR RD,66056,1051,66056 - 1051,END CHIP SEAL,BRIDGE AT DUNBAR SCH,10.51,11.06,A,2,5280,22,116160,58,2015/04/17,56,7 - Local,SE,1st District,SON,1988/01/01,1988/01/01,
713,EIGHTH ST EAST,5502,1187,5502 - 1187,NAPA RD,MACARTHUR ST,11.87,12.56,A,2,3643,24,87432,62,2015/04/07,58,5 - Major Collector,SE,1st District,SON,1987/10/15,1987/10/14,
183,BATESOLE DR,67008,1000,67008 - 1000,SONOMA MNTN RD,END,10,10.17,A,2,795,18,14310,11,2015/04/15,6,7 - Local,SE,1st District,SON,1977/01/01,1977/01/01,
530,COMSTOCK AVE,56109,2000,56109 - 2000,RIVERSIDE DR,CHERRY AVE,20,20.13,A,2,686,16,10976,10,2015/05/29,6,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
382,CALLE PETITE SARAH,56225,1000,56225 - 1000,END,VIA COLOMBARD,10,10.02,A,2,106,82,8692,33,2015/05/28,30,7 - Local,SE,1st District,SON,1981/01/01,1981/01/01,
144,AVENDIA BARBERA,56224,1000,56224 - 1000,AVENDIA SEBASTIANI,AVENDIA SEBASTIANI,10,10.3,A,2,1584,32,50688,36,2015/05/28,33,7 - Local,SE,1st District,SON,1981/01/01,1981/01/01,
836,FRANCISCO DR,66088,1000,66088 - 1000,LAS FLORES DR,CALLE DELA LUNA,10,10.13,A,2,686,36,24696,48,2015/05/22,45,7 - Local,SE,1st District,SON,1971/01/01,1971/01/01,
1037,HARDIN LN,57038,1000,57038 - 1000,ADOBE LN,CATTLE GUARD (10.86),10,10.86,A,2,4541,19,86279,31,2015/03/30,27,7 - Local,SE,2nd District,COT,2000/08/07,1975/01/15,
20,ADOBE RD,5602,1627,5602 - 1627,FRATES RD,HWY 116 / STAGE GULCH RD,16.27,19.489,O,2,16996,39,662844,88,2015/02/23,83,5 - Major Collector,SE,2nd District,COT,2002/06/12,1981/04/06,
720,EL PORTALA DR-SB,66095,1000,66095 - 1000,ESTRELLA DR,HWY 12,10,10.18,A,1,950,20,19000,56,2015/05/29,54,7 - Local,SE,1st District,SON,1971/01/01,1971/01/01,
301,BONNESS RD,56003,1000,56003 - 1000,END,HWY 116,10,11.02,A,2,5650,17,96050,26,2015/04/26,22,7 - Local,SE,1st District,SON,1974/01/01,1974/01/01,
575,CROCUS CT,56220,1000,56220 - 1000,END,CROCUS DR,10,10.02,A,2,106,48,5088,31,2015/05/28,27,7 - Local,SE,1st District,SON,1988/01/01,1988/01/01,
768,FELDER RD,56009,1000,56009 - 1000,END,ARNOLD DR,10,10.84,A,2,4435,16,70960,26,2015/05/28,22,7 - Local,SE,1st District,SON,1982/01/01,1982/01/01,
